Nets=['Deep_sig.21', 'Deep_sig.22', 'Deep_sig.23', 'Deep_sig.24']	GPUid=5
N=20	gauge=True	increment=0.01	amount=201	epochs=1	init_p=1000.0	rate=1.0
V=1.210	U=0.000	H=-0.92171371	P=0.00000727	D=0.00107186	CDW=0.30309749	BDW=0.01952624	Next_init_amount=1
V=1.200	U=0.000	H=-0.92379951	P=0.00000649	D=0.00106996	CDW=0.29970226	BDW=0.01977563	Next_init_amount=1
V=1.190	U=0.000	H=-0.92615104	P=0.00000556	D=0.00121797	CDW=0.29246011	BDW=0.02109310	Next_init_amount=1
V=1.180	U=0.000	H=-0.92907870	P=0.00000541	D=0.00129521	CDW=0.28820363	BDW=0.02173546	Next_init_amount=1
V=1.170	U=0.000	H=-0.93133181	P=0.00000560	D=0.00128226	CDW=0.28696603	BDW=0.02221674	Next_init_amount=1
V=1.160	U=0.000	H=-0.93463957	P=0.00000514	D=0.00130902	CDW=0.28504664	BDW=0.02270854	Next_init_amount=1
V=1.150	U=0.000	H=-0.93684578	P=0.00000588	D=0.00128705	CDW=0.28334627	BDW=0.02272564	Next_init_amount=1
V=1.140	U=0.000	H=-0.93954599	P=0.00000514	D=0.00129387	CDW=0.28126335	BDW=0.02290577	Next_init_amount=1
V=1.130	U=0.000	H=-0.94264209	P=0.00000506	D=0.00129874	CDW=0.27911785	BDW=0.02290979	Next_init_amount=1
V=1.120	U=0.000	H=-0.94551849	P=0.00000617	D=0.00121563	CDW=0.27554777	BDW=0.02300197	Next_init_amount=1
V=1.110	U=0.000	H=-0.94777453	P=0.00000616	D=0.00122654	CDW=0.27362990	BDW=0.02294338	Next_init_amount=1
V=1.100	U=0.000	H=-0.95072860	P=0.00000524	D=0.00119403	CDW=0.27088910	BDW=0.02240422	Next_init_amount=1
V=1.090	U=0.000	H=-0.95293748	P=0.00000552	D=0.00115500	CDW=0.26817420	BDW=0.02142045	Next_init_amount=1
V=1.080	U=0.000	H=-0.95570195	P=0.00000516	D=0.00115778	CDW=0.26683590	BDW=0.02075922	Next_init_amount=1
V=1.070	U=0.000	H=-0.95834208	P=0.00000516	D=0.00115772	CDW=0.26405075	BDW=0.02045950	Next_init_amount=1
V=1.060	U=0.000	H=-0.96163225	P=0.00000528	D=0.00115360	CDW=0.26303571	BDW=0.01964653	Next_init_amount=1
V=1.050	U=0.000	H=-0.96443498	P=0.00000519	D=0.00115667	CDW=0.26233417	BDW=0.01903942	Next_init_amount=1
