Nets=['Deep_sig.21', 'Deep_sig.23', 'Deep_sig.24']	GPUid=4
N=20	gauge=True	increment=0.01	amount=151	epochs=1	init_p=1000.0	rate=1.0
V=1.070	U=-100.000	H=-0.44830421	P=0.00000353	D=0.00174577	CDW=-0.09457685	BDW=0.01435338	Next_init_amount=1
V=1.080	U=-100.000	H=-0.44496027	P=0.00000327	D=0.00174474	CDW=-0.09494765	BDW=0.01389998	Next_init_amount=1
V=1.090	U=-100.000	H=-0.44186959	P=0.00000311	D=0.00183041	CDW=-0.09525085	BDW=0.01351954	Next_init_amount=1
V=1.100	U=-100.000	H=-0.43854481	P=0.00000311	D=0.00182393	CDW=-0.09512261	BDW=0.01348498	Next_init_amount=1
V=1.110	U=-100.000	H=-0.43549439	P=0.00000310	D=0.00180661	CDW=-0.09504032	BDW=0.01328334	Next_init_amount=1
V=1.120	U=-100.000	H=-0.43236524	P=0.00000315	D=0.00180332	CDW=-0.09491877	BDW=0.01321414	Next_init_amount=1
V=1.130	U=-100.000	H=-0.42944133	P=0.00000319	D=0.00183830	CDW=-0.09477508	BDW=0.01319897	Next_init_amount=1
V=1.140	U=-100.000	H=-0.42617276	P=0.00000296	D=0.00182805	CDW=-0.09461394	BDW=0.01306491	Next_init_amount=1
V=1.150	U=-100.000	H=-0.42322573	P=0.00000320	D=0.00184921	CDW=-0.09445819	BDW=0.01282218	Next_init_amount=1
V=1.160	U=-100.000	H=-0.42011222	P=0.00000329	D=0.00185857	CDW=-0.09345245	BDW=0.01281984	Next_init_amount=1
V=1.170	U=-100.000	H=-0.41734505	P=0.00000320	D=0.00190512	CDW=-0.09338619	BDW=0.01370381	Next_init_amount=1
V=1.180	U=-100.000	H=-0.41446209	P=0.00000346	D=0.00193321	CDW=-0.09348113	BDW=0.01417074	Next_init_amount=1
V=1.190	U=-100.000	H=-0.41128984	P=0.00000312	D=0.00185665	CDW=-0.09365582	BDW=0.01464547	Next_init_amount=1
V=1.200	U=-100.000	H=-0.40855718	P=0.00000311	D=0.00187716	CDW=-0.09364919	BDW=0.01491092	Next_init_amount=1
V=1.210	U=-100.000	H=-0.40556252	P=0.00000304	D=0.00184732	CDW=-0.09352136	BDW=0.01490070	Next_init_amount=1
V=1.220	U=-100.000	H=-0.40285990	P=0.00000313	D=0.00185653	CDW=-0.09382527	BDW=0.01464334	Next_init_amount=1
V=1.230	U=-100.000	H=-0.39993775	P=0.00000312	D=0.00183832	CDW=-0.09375350	BDW=0.01458585	Next_init_amount=1
V=1.240	U=-100.000	H=-0.39728975	P=0.00000297	D=0.00188447	CDW=-0.09414964	BDW=0.01440550	Next_init_amount=1
V=1.250	U=-100.000	H=-0.39446872	P=0.00000287	D=0.00185232	CDW=-0.09380791	BDW=0.01426342	Next_init_amount=1
V=1.260	U=-100.000	H=-0.39181951	P=0.00000300	D=0.00187730	CDW=-0.09410467	BDW=0.01424265	Next_init_amount=1
V=1.270	U=-100.000	H=-0.38897076	P=0.00000308	D=0.00185757	CDW=-0.09373088	BDW=0.01414941	Next_init_amount=1
V=1.280	U=-100.000	H=-0.38630185	P=0.00000318	D=0.00189068	CDW=-0.09306690	BDW=0.01440506	Next_init_amount=1
V=1.290	U=-100.000	H=-0.38390082	P=0.00000295	D=0.00194051	CDW=-0.09255337	BDW=0.01435241	Next_init_amount=1
V=1.300	U=-100.000	H=-0.38085383	P=0.00000288	D=0.00185416	CDW=-0.09168727	BDW=0.01429294	Next_init_amount=1
V=1.310	U=-100.000	H=-0.37858257	P=0.00000286	D=0.00195041	CDW=-0.09133107	BDW=0.01427677	Next_init_amount=1
V=1.320	U=-100.000	H=-0.37571120	P=0.00000302	D=0.00189877	CDW=-0.08950482	BDW=0.01452237	Next_init_amount=1
V=1.330	U=-100.000	H=-0.37334546	P=0.00000294	D=0.00195084	CDW=-0.08844279	BDW=0.01476657	Next_init_amount=1
V=1.340	U=-100.000	H=-0.37085167	P=0.00000341	D=0.00196670	CDW=-0.08788229	BDW=0.01475985	Next_init_amount=1
V=1.350	U=-100.000	H=-0.36838910	P=0.00000300	D=0.00199713	CDW=-0.08769040	BDW=0.01454140	Next_init_amount=1
V=1.360	U=-100.000	H=-0.36586058	P=0.00000340	D=0.00214209	CDW=-0.08792461	BDW=0.01447679	Next_init_amount=1
V=1.370	U=-100.000	H=-0.36364022	P=0.00000297	D=0.00221878	CDW=-0.08847882	BDW=0.01426031	Next_init_amount=1
